Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
240,0,0.0581771,0.036214,0.0903896,13.2131,-0.230322,-5.26748
241,0,0.0577867,0.035284,0.0906203,12.9598,0.106649,-5.12869
242,0,0.0575391,0.0358974,0.0902119,13.2426,-0.218684,-5.32522
243,0,0.057785,0.0358869,0.0905945,13.074,-0.041449,-5.18552
244,0,0.0575127,0.0364043,0.0900286,13.132,-0.119799,-5.22545
245,0,0.0576341,0.0360003,0.0904416,13.3178,-0.345244,-5.35736
246,0,0.0575891,0.036547,0.0901853,13.1534,-0.135278,-5.30283
247,0,0.057734,0.0357828,0.0902882,13.0812,-0.0603878,-5.20845
248,0,0.0575549,0.0364406,0.0904782,13.1358,-0.127771,-5.24182
249,0,0.0577626,0.0353635,0.0909359,13.0601,0.00385577,-5.16918
250,0,0.0574887,0.0355234,0.0904595,13.1085,-0.0815785,-5.21374
251,0,0.0575456,0.0351119,0.0909275,13.0952,-0.0840978,-5.18669
252,0,0.0571601,0.0359339,0.0902189,13.1751,-0.186794,-5.25788
253,0,0.0570761,0.0365041,0.0902483,13.1891,-0.187149,-5.28866
254,0,0.0578089,0.0358833,0.0906432,13.1121,-0.0692467,-5.20385
255,0,0.0574916,0.0361241,0.0907727,13.1679,-0.127293,-5.2517
256,0,0.0578828,0.0358102,0.0901674,13.1289,-0.103622,-5.22198
257,0,0.0574602,0.0355669,0.0904782,13.2234,-0.2145,-5.3193
258,0,0.0573958,0.0362431,0.0901878,13.2719,-0.259284,-5.32198
259,0,0.0572334,0.0356683,0.0906381,13.2071,-0.195594,-5.26258
260,0,0.0576546,0.0362539,0.0905957,13.1607,-0.169782,-5.25615
261,0,0.0576417,0.0362159,0.0903326,13.1503,-0.114582,-5.27565
262,0,0.0579459,0.0355159,0.0909288,13.1654,-0.151682,-5.23634
263,0,0.0578036,0.0352647,0.0903345,13.1472,-0.134324,-5.26658
264,0,0.057594,0.036695,0.0902051,13.2242,-0.231711,-5.33265
265,0,0.0575362,0.0364962,0.0900975,13.1319,-0.116219,-5.21091
266,0,0.0577406,0.0355652,0.0906274,13.1891,-0.205828,-5.29244
267,0,0.0576865,0.0369396,0.0898825,13.0967,-0.0760755,-5.21798
268,0,0.0575282,0.0357043,0.0900136,13.1176,-0.0897052,-5.23581
269,0,0.0577262,0.0356568,0.0903054,13.1101,-0.0800887,-5.23326
270,0,0.0575449,0.0357068,0.0901241,13.1243,-0.120171,-5.22458
271,0,0.0574505,0.0358417,0.0903852,13.1513,-0.136457,-5.26047
272,0,0.0578545,0.0360688,0.090491,13.0932,-0.065142,-5.20508
273,0,0.0572365,0.0358373,0.0900904,13.2262,-0.245382,-5.32611
274,0,0.0579927,0.0367109,0.0902939,13.2946,-0.311482,-5.36563
275,0,0.0578424,0.0361595,0.0905351,13.156,-0.140822,-5.25491
276,0,0.0577002,0.0358446,0.0903749,13.1808,-0.161471,-5.29511
277,0,0.0577794,0.0368095,0.0906618,13.1641,-0.12333,-5.231
