Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
186,2.3757,-0.115682,0.129389,-4.02352,29.9364,439.203,120,64,64,80
187,2.37892,-0.114331,0.129312,-3.85803,29.7498,438.993,120,64,64,80
188,2.37978,-0.112288,0.129738,-3.77034,29.494,438.65,120,64,64,80
189,2.37926,-0.112358,0.130338,-3.72433,29.1649,438.361,120,64,64,80
190,2.37561,-0.111882,0.130044,-3.74294,28.8349,438.098,120,64,64,80
191,2.37109,-0.110205,0.131739,-3.75688,28.5116,437.71,116,64,64,80
192,2.36996,-0.108365,0.13207,-3.7363,28.2039,437.43,116,64,64,80
193,2.3717,-0.105497,0.130878,-3.75489,27.927,437.204,116,64,64,80
194,2.37173,-0.104038,0.130031,-3.72648,27.6487,437.165,116,64,64,80
195,2.37102,-0.106544,0.129669,-3.57126,27.2029,437.174,116,64,64,80
196,2.37038,-0.109015,0.129256,-3.40805,26.687,437.2,116,64,64,80
197,2.37081,-0.11264,0.132597,-3.11135,26.131,437.207,116,64,64,80
198,2.37368,-0.113591,0.13381,-2.9048,25.7682,437.263,116,64,64,80
199,2.375,-0.115646,0.132246,-2.7782,25.2384,437.4,116,64,64,80
200,2.37588,-0.114168,0.12884,-2.78006,24.7818,437.502,116,64,64,80
201,2.37723,-0.111563,0.129196,-2.74911,24.3876,437.501,112,64,64,80
202,2.37814,-0.108787,0.127717,-2.68686,24.0252,437.488,112,64,64,80
203,2.37955,-0.105591,0.126606,-2.64236,23.6755,437.444,112,64,64,80
204,2.37697,-0.102512,0.127453,-2.62153,23.2655,437.37,112,64,64,80
205,2.37566,-0.102247,0.127395,-2.50543,22.797,437.446,112,64,64,80
206,2.37511,-0.103271,0.126828,-2.24207,22.2093,437.597,112,64,64,80
207,2.3797,-0.104518,0.125418,-1.77206,21.6614,438.147,112,64,64,80
208,2.38147,-0.10939,0.129509,-1.03727,21.1428,438.627,112,64,64,80
209,2.38142,-0.110728,0.129107,-0.72516,20.6481,439.029,112,64,64,80
210,2.37944,-0.109309,0.128987,-0.598143,20.1082,439.378,112,64,64,80
211,2.37705,-0.108391,0.127462,-0.438428,19.7341,439.845,108,64,64,80
212,2.37834,-0.109285,0.129686,-0.0118234,19.407,440.413,108,64,64,80
213,2.38108,-0.110354,0.126081,0.276845,18.9483,441.145,108,64,64,80
214,2.37924,-0.10741,0.129887,0.542676,18.3788,441.473,108,64,64,80
215,2.37632,-0.104437,0.124952,0.429137,17.7514,442.039,108,64,64,80
216,2.37236,-0.106635,0.126866,0.708867,17.0567,442.677,108,64,64,80
217,2.37266,-0.118359,0.122697,1.48799,16.4788,443.995,108,64,64,80
