Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
243,-0.254487,-1.58368,-4.33695,463.334,248.409,753.293,96,64,64,80
244,-0.213502,-1.59976,-4.33287,488.401,254.574,754.86,96,64,64,80
245,-0.211367,-1.58985,-4.34084,514.001,262.424,756.616,96,64,64,80
246,-0.285743,-1.57369,-4.34317,540.458,271.807,758.699,96,64,64,80
247,-0.294902,-1.56443,-4.34793,567.065,280.027,760.794,96,64,64,80
248,-0.265928,-1.56185,-4.35187,594.012,287.665,762.845,96,64,64,80
249,-0.309395,-1.55139,-4.3541,621.713,297.557,765.36,96,64,64,80
250,-0.351078,-1.5349,-4.35817,649.876,307.637,768.025,96,64,64,80
251,-0.103315,-2.96097,0.84702,720.778,321.496,800.265,92,64,64,80
252,-0.106107,-2.96065,0.827362,748.992,329.542,802.247,92,64,64,80
253,-0.108878,-2.95835,0.845752,777.788,340.034,805.344,92,64,64,80
254,-0.101277,-2.94948,0.886043,807.343,352.507,809.41,92,64,64,80
255,-0.119207,-2.95425,0.845384,836.64,359.632,810.642,92,64,64,80
256,-0.135663,-2.95019,0.797467,866.408,367.031,811.405,92,64,64,80
257,-0.142395,-2.94563,0.795025,896.784,377.364,813.711,92,64,64,80
258,-0.146192,-2.94516,0.789159,927.761,388.097,816.107,92,64,64,80
259,-0.15465,-2.94076,0.778834,959.013,398.853,818.081,92,64,64,80
260,-0.156199,-2.94053,0.777966,990.793,410.454,820.298,92,64,64,80
261,-0.162182,-2.93831,0.771306,1023.16,422.101,822.484,88,64,64,80
262,-0.166162,-2.93431,0.770427,1055.84,434.053,824.817,88,64,64,80
263,-0.170484,-2.93097,0.763161,1089.06,446.415,826.953,88,64,64,80
264,-0.190774,-2.90098,0.836095,1122.88,463.78,832.207,88,64,64,80
265,-0.241113,-2.80355,1.03158,1157.21,491.184,842.889,88,64,64,80
266,-0.203415,-2.89083,0.841631,1191.22,490.074,837.307,88,64,64,80
267,-0.246521,-2.81468,0.995796,1226.02,514.566,846.154,88,64,64,80
268,-0.226066,-2.86733,0.882885,1261.27,520.617,844.122,88,64,64,80
269,-0.260095,-2.79766,1.02393,1296.57,543.895,852.362,88,64,64,80
270,-0.216031,-2.88833,0.839553,1333.04,544.933,847.235,88,64,64,80
271,-0.156188,-2.9645,0.66331,1369.98,547.081,842.586,84,64,64,80
272,-0.201186,-2.90572,0.804541,1406.55,570.826,850.521,84,64,64,80
273,-0.163257,-2.95536,0.681718,1444.46,577.794,848.147,84,64,64,80
274,-0.204635,-2.90391,0.803082,1481.4,601.218,855.472,84,64,64,80
275,-0.135349,-2.9713,0.695992,1520.33,609.125,853.084,84,64,64,80
276,-0.213489,-2.89409,0.817437,1557.84,633.239,860.46,84,64,64,80
277,-0.116836,-2.99062,0.654767,1598.22,638.203,855.878,84,64,64,80
278,-0.0649338,-3.03164,0.597986,1638.06,650.675,855.548,84,64,64,80
279,-0.149089,-2.96514,0.705294,1676.68,674.253,861.965,84,64,64,80
280,-0.0809621,-3.03228,0.585982,1717.75,684.046,859.485,84,64,64,80
281,0.00310609,-3.1053,0.517862,1758.33,697.097,858.271,80,64,64,80
282,-0.000290254,-3.13274,0.482543,1798.33,713.227,858.977,80,64,64,80
283,-0.00653888,-3.15758,0.42944,1838.16,728.575,859.201,80,64,64,80
284,-0.00321815,-3.1823,0.426362,1877.15,745.487,861.157,80,64,64,80
285,-0.0070086,-3.19943,0.421342,1915.78,760.982,862.853,80,64,64,80
286,0.00190758,-3.21901,0.42229,1953.62,775.306,864.399,80,64,64,80
287,0.00605199,-3.23273,0.416242,1990.54,788.8,865.991,80,64,64,80
288,-0.00018156,-3.23717,0.4037,2026.52,800.679,867.074,80,64,64,80
289,-0.00720985,-3.23904,0.403816,2061.2,812.087,868.429,80,64,64,80
290,-0.00796973,-3.2426,0.410036,2094.57,822.87,870.003,80,64,64,80
291,-0.0209328,-3.23901,0.40159,2126.59,832.849,871.593,76,64,64,80
292,-0.032023,-3.23571,0.402948,2160.83,832.266,866.877,76,64,64,80
293,-0.0350505,-3.23744,0.410705,2192.0,836.15,865.708,76,64,64,80
294,-0.0430901,-3.2337,0.424166,2221.99,839.074,864.431,76,64,64,80
295,-0.0483398,-3.22996,0.429318,2245.79,853.626,871.052,76,64,64,80
296,-0.0507016,-3.23024,0.448395,2279.39,840.692,860.431,76,64,64,80
297,-0.0588061,-3.2214,0.446391,2297.21,861.146,871.663,76,64,64,80
298,-0.0616043,-3.21977,0.459585,2326.89,851.284,863.842,76,64,64,80
299,-0.0609878,-3.21376,0.462832,2341.5,872.863,876.7,76,64,64,80
300,-0.0633687,-3.2084,0.472713,2362.15,877.149,878.867,76,64,64,80
301,-0.0726598,-3.19512,0.481745,2381.43,880.574,880.727,72,64,64,80
302,-0.0787907,-3.18222,0.486411,2400.47,883.461,882.552,72,64,64,80
303,-0.0854978,-3.17666,0.494146,2419.28,882.702,882.581,72,64,64,80
304,2.36128,-2.40787,-1.10307,2642.3,905.061,893.78,72,64,64,80
305,2.37556,-2.32304,-0.965064,2654.28,907.299,894.64,72,64,64,80
306,0.357005,-0.27843,-0.424132,2654.04,935.645,888.689,72,64,64,80
